Index of Commit,Committer Name,Committer Date,Tree URL,Page of Response
18,bersbersbers,2021-10-18T18:25:02Z,https://api.github.com/repos/plotly/plotly.R/git/trees/8e53ca13cd8ad8c0ce1a4a075439dc9d52634022,1
19,bersbersbers,2021-10-18T18:25:01Z,https://api.github.com/repos/plotly/plotly.R/git/trees/3b2c4e02b097070c72b5c2bec65ecc55c037478e,1
20,Carson,2021-10-14T18:48:07Z,https://api.github.com/repos/plotly/plotly.R/git/trees/5ecf90c6cfb7853955f2dd8894433ea169647f4d,1
21,GitHub,2021-10-14T16:51:05Z,https://api.github.com/repos/plotly/plotly.R/git/trees/f27a7c5b8edaabb485ca6c3a445761f770a95e8d,1
22,GitHub,2021-10-14T16:50:06Z,https://api.github.com/repos/plotly/plotly.R/git/trees/2691b70dfb1fa2a832dd129001973e1270ab71a5,1
23,Abdessabour Moutik,2021-10-09T11:49:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9a06131ae8d882f09c2b4ca090b17d0e01485113,1
24,Abdessabour Moutik,2021-10-09T11:48:36Z,https://api.github.com/repos/plotly/plotly.R/git/trees/398d3ca738c9efc2539d33bc5816e464f76cc730,1
25,Abdessabour Moutik,2021-10-09T11:41:31Z,https://api.github.com/repos/plotly/plotly.R/git/trees/555fd6955b6e6b67d1d4a629c280ccf353b620fd,1
26,Abdessabour Moutik,2021-10-09T11:30:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/07751dc8eb8c94104f696bc6943cf01bce3aaea1,1
27,Abdessabour Moutik,2021-10-08T23:13:47Z,https://api.github.com/repos/plotly/plotly.R/git/trees/f5336adc258d8f6f4eabadec1c31204170d7c912,1
28,Carson,2021-10-08T21:29:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/2eac37e45c12ebece216d923fdb186ebe43250ad,1
29,Abdessabour Moutik,2021-10-08T19:59:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/e7747407101406bd67c46c2cbe25bc19846a0a03,1
30,GitHub,2021-10-08T18:58:38Z,https://api.github.com/repos/plotly/plotly.R/git/trees/4a44660ee09d880f5967ac620944a9f21a2778db,1
31,Carson,2021-10-08T14:33:56Z,https://api.github.com/repos/plotly/plotly.R/git/trees/ff4b125759e186869cb82e5d0aa37ed67b1701d2,1
32,Carson,2021-10-08T14:26:13Z,https://api.github.com/repos/plotly/plotly.R/git/trees/58d3461b9a9d4790c61e28e9dab1c3862e261e3a,1
33,GitHub,2021-10-01T22:09:16Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c5a0a77e4196b390c4e013257bc983c3e76c65a0,1
34,Abdessabour Moutik,2021-09-28T23:13:45Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d86fe9cf6041c3dd92a98b6230de39b40060dc69,1
35,GitHub,2021-09-21T13:47:34Z,https://api.github.com/repos/plotly/plotly.R/git/trees/5b4bbcb06fb71eea175ff8535d95082d7c895fab,1
36,GitHub,2021-09-20T22:30:54Z,https://api.github.com/repos/plotly/plotly.R/git/trees/e9021fbf6cefc1916391ceaeffc5ed11cde028b3,1
37,GitHub,2021-07-18T17:31:08Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9a1aed38d3c2fd05e435155b2355b194e0833deb,1
38,GitHub,2021-07-18T17:17:35Z,https://api.github.com/repos/plotly/plotly.R/git/trees/85ab55fa19eb643c32448b26fbba98260fa11f74,1
39,Carson,2021-07-14T22:54:53Z,https://api.github.com/repos/plotly/plotly.R/git/trees/fd29b3715cc1ae26fffc9028ea3da44e46017055,1
40,GitHub,2021-07-14T22:29:58Z,https://api.github.com/repos/plotly/plotly.R/git/trees/b0e354dd32bbb594159dfa7aa2b789667abbd949,1
41,GitHub,2021-07-14T20:43:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/31dabc721241111614ce42c9068944a867b098b9,1
42,GitHub,2021-07-14T19:34:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/3f9b3e64fe877e250a1e49f4c78a0d3613df2ec8,1
43,GitHub,2021-06-22T14:07:40Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c487fd56a50130c3279fb8bfcdffba597375c66f,1
44,Carson,2021-06-21T18:04:18Z,https://api.github.com/repos/plotly/plotly.R/git/trees/2d0ce9e125fe67a1e210b345690b20a21d9315b0,1
45,GitHub,2021-06-21T15:04:03Z,https://api.github.com/repos/plotly/plotly.R/git/trees/813b0763fc27cea4a9a841ffd71226ad292e41f7,1
46,GitHub,2021-06-17T17:04:10Z,https://api.github.com/repos/plotly/plotly.R/git/trees/97b36a101cfcf92561c0de5340d42ee84a5807f9,1
47,GitHub,2021-06-08T18:36:49Z,https://api.github.com/repos/plotly/plotly.R/git/trees/8a74bd7caacc99af6360dc7018fae6381431ffc1,1
48,Carson,2021-05-17T19:57:02Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d4f5d289a795ca6ea57153e8a3affa75a31feb6d,1
49,GitHub,2021-05-17T16:30:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/0ee6a16699b36e09b83a06d7812900eced1e8fd1,1
50,Carson,2021-04-15T20:08:35Z,https://api.github.com/repos/plotly/plotly.R/git/trees/1516ca6a814f040c9fe475f95cdb5bd1cf6ed68a,1
51,GitHub,2021-04-07T14:37:32Z,https://api.github.com/repos/plotly/plotly.R/git/trees/0b6d7e01152c04e771c393eb1f94ba01400eff61,1
52,GitHub,2021-03-18T22:24:29Z,https://api.github.com/repos/plotly/plotly.R/git/trees/56f14b10761a71bc526c29d2facc4856a670a22e,1
53,GitHub,2021-03-08T16:40:40Z,https://api.github.com/repos/plotly/plotly.R/git/trees/e199fa04c2adde7b75c1a0cd53f4e274d76b61d4,1
54,Carson,2021-02-16T15:58:38Z,https://api.github.com/repos/plotly/plotly.R/git/trees/21f93f077c0de995e676178969b904593cc1ff3e,1
55,Carson,2021-02-16T15:56:27Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9ed28fbbd59307a3f89cd8c8ea5b0403f92f858c,1
56,Carson,2021-01-10T16:48:02Z,https://api.github.com/repos/plotly/plotly.R/git/trees/49ad35431e33d08adcfefd181577348097a2c82e,1
57,Carson,2021-01-10T16:47:09Z,https://api.github.com/repos/plotly/plotly.R/git/trees/68fc2c51b61a9bd4fa296bc18db7f7ed59282ef8,1
58,GitHub,2021-01-10T16:45:34Z,https://api.github.com/repos/plotly/plotly.R/git/trees/273d6502b34f590b11c934cb2a3826896e704b16,1
59,Carson,2020-12-18T15:25:41Z,https://api.github.com/repos/plotly/plotly.R/git/trees/68fc2c51b61a9bd4fa296bc18db7f7ed59282ef8,1
60,Carson,2020-12-10T22:46:42Z,https://api.github.com/repos/plotly/plotly.R/git/trees/273d6502b34f590b11c934cb2a3826896e704b16,1
61,Carson,2020-12-10T21:00:47Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c4bdeca75a4df49c30973915b74490c3842fe964,1
62,Carson,2020-12-10T16:25:32Z,https://api.github.com/repos/plotly/plotly.R/git/trees/a9bf724e1f7494e2f25375f07b2fe14e2b819e75,1
63,Carson,2020-12-10T16:07:22Z,https://api.github.com/repos/plotly/plotly.R/git/trees/98dbd02974db40c8e11add72e00f9b16705d14d4,1
64,Carson,2020-12-09T18:27:55Z,https://api.github.com/repos/plotly/plotly.R/git/trees/97135985c4966f271882ba8033e089ea6b0029d3,1
65,Carson,2020-12-09T18:27:02Z,https://api.github.com/repos/plotly/plotly.R/git/trees/807d0918260ee10f41b3d924483310e7f0a067d1,1
66,Carson,2020-12-09T18:21:11Z,https://api.github.com/repos/plotly/plotly.R/git/trees/4be552eff5348d43f89b440289814753fe39a9d7,1
67,Carson,2020-12-09T18:14:56Z,https://api.github.com/repos/plotly/plotly.R/git/trees/4c69b1ae455e9167095197e6063dcb0588c87b2a,1
68,Carson,2020-12-09T17:05:02Z,https://api.github.com/repos/plotly/plotly.R/git/trees/455750de1c91f9d9a3d80e4701f4fa2727c03c79,1
69,Carson,2020-12-09T16:21:40Z,https://api.github.com/repos/plotly/plotly.R/git/trees/a77d203a161cecc3c526ba5e4bf2eaeb44e00603,1
70,GitHub,2020-12-08T23:20:34Z,https://api.github.com/repos/plotly/plotly.R/git/trees/eec272a41961c7b46d83b4103570e497a04e4737,1
71,Carson,2020-12-08T22:24:30Z,https://api.github.com/repos/plotly/plotly.R/git/trees/2b5a479bce0f54b7bc49b3b8310d5cf6f003fb53,1
72,GitHub,2020-12-08T22:09:30Z,https://api.github.com/repos/plotly/plotly.R/git/trees/33992840460750c65d35187123eaadfa2b9f99d2,1
73,Carson,2020-12-08T21:54:06Z,https://api.github.com/repos/plotly/plotly.R/git/trees/85d05659a2b536d0add3d8ac9a5f7d8e9ec465b6,1
74,GitHub,2020-12-08T21:50:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d19cd7c23215b309ea951a567b1fa6ec8a21f55c,1
75,GitHub,2020-11-18T15:24:21Z,https://api.github.com/repos/plotly/plotly.R/git/trees/02b759e6dd71436979823fde6137e78452a7ed09,1
76,Carson,2020-11-16T17:10:33Z,https://api.github.com/repos/plotly/plotly.R/git/trees/40b74859a47ee5a0e0d5fde1dab15b43f2683729,1
77,GitHub,2020-11-16T16:35:51Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9aee02a1865d18921fa00a00196d478d9a6e0707,1
78,Carson,2020-10-22T15:32:47Z,https://api.github.com/repos/plotly/plotly.R/git/trees/00492e333938ff745a750d009f6f8e33f93b1581,1
79,Carson,2020-10-21T14:35:06Z,https://api.github.com/repos/plotly/plotly.R/git/trees/06063eb40344d3b2c20254d4e7f3e1416cd4faf1,1
80,GitHub,2020-07-24T17:40:18Z,https://api.github.com/repos/plotly/plotly.R/git/trees/34f7e1d0dcb49d1365cc8bd07f032954f1e12fc0,1
81,GitHub,2020-06-26T21:36:56Z,https://api.github.com/repos/plotly/plotly.R/git/trees/90a42290f0ab6822c3ad2b4a3f00a92c583eb508,1
82,GitHub,2020-06-26T16:16:23Z,https://api.github.com/repos/plotly/plotly.R/git/trees/6a69c19362120c4c668f8ce2ba3a1ed51abeaeea,1
83,Carson,2020-06-25T23:25:18Z,https://api.github.com/repos/plotly/plotly.R/git/trees/6746d16a6e5204364e955af3fb2113e6f1852526,1
84,GitHub,2020-06-25T23:13:21Z,https://api.github.com/repos/plotly/plotly.R/git/trees/68a0823a893068a1b3d85ccc81815118a4940fe3,1
85,GitHub,2020-06-23T14:14:44Z,https://api.github.com/repos/plotly/plotly.R/git/trees/60275bb60036f02e999d4e1b4b282bc1dc14aee3,1
86,GitHub,2020-06-23T13:33:11Z,https://api.github.com/repos/plotly/plotly.R/git/trees/63f36e84b3e1bfca011acf77d8d923b3beffade4,1
87,GitHub,2020-06-22T14:12:55Z,https://api.github.com/repos/plotly/plotly.R/git/trees/82aefece9df8a2a161f56cca18d5b3e447f03632,1
88,GitHub,2020-06-17T22:29:49Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d04477dcb353c09345a1e54b1b02e86dd92e8fda,1
89,Stefan Moog,2020-06-17T09:16:48Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d04477dcb353c09345a1e54b1b02e86dd92e8fda,1
90,GitHub,2020-06-17T09:05:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d635c6199af046506cf250c4720c850832fdc61b,1
91,Stefan Moog,2020-06-07T18:29:16Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c0da59f67f2a5b4823270bd192594cbbfce5d9ea,1
92,Stefan Moog,2020-06-07T18:27:32Z,https://api.github.com/repos/plotly/plotly.R/git/trees/b1a2cba2204565965ec8079d028cb982c1e00ace,1
93,GitHub,2020-05-19T22:16:28Z,https://api.github.com/repos/plotly/plotly.R/git/trees/64926f48fe43654cd2ba21dd9cdea6190d89e2d1,1
94,James Lamb,2020-05-19T21:56:27Z,https://api.github.com/repos/plotly/plotly.R/git/trees/64926f48fe43654cd2ba21dd9cdea6190d89e2d1,1
95,James Lamb,2020-05-19T21:30:56Z,https://api.github.com/repos/plotly/plotly.R/git/trees/45ee0e5208410326e39304c91e497a77a657f7a8,1
96,James Lamb,2020-05-19T21:29:31Z,https://api.github.com/repos/plotly/plotly.R/git/trees/58b5e4d2525f38b087f8d4a493d0d40288bfb37e,1
97,James Lamb,2020-05-19T21:29:31Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c64a1d663488eba86c5b11405a99251786d8d4f8,1
98,Carson,2020-05-19T19:17:56Z,https://api.github.com/repos/plotly/plotly.R/git/trees/8eb3ef5b61c0e6809266675d6e27dc9df3367f78,1
99,Carson,2020-05-19T19:14:14Z,https://api.github.com/repos/plotly/plotly.R/git/trees/4a640a90ffda74f5b54e86dbeaf3cc320411bd41,1
0,GitHub,2020-05-19T19:11:12Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9167d9377e8731965af8fe82f949409b01033387,2
1,Duncan Murdoch,2020-05-19T15:44:20Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9167d9377e8731965af8fe82f949409b01033387,2
2,Duncan Murdoch,2020-05-19T13:25:24Z,https://api.github.com/repos/plotly/plotly.R/git/trees/283d793007237e7117df188266889aa2b0956549,2
3,GitHub,2020-05-19T00:22:01Z,https://api.github.com/repos/plotly/plotly.R/git/trees/e3cb1b0addac563fab0996c11e8263a822281899,2
4,Carson,2020-05-18T23:39:33Z,https://api.github.com/repos/plotly/plotly.R/git/trees/e3cb1b0addac563fab0996c11e8263a822281899,2
5,Carson,2020-05-18T23:30:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/ce8827c29a0169c0dd3e70a1c695b2ba846a5c1a,2
6,Carson,2020-05-18T23:25:01Z,https://api.github.com/repos/plotly/plotly.R/git/trees/01a1ec4c3fcd40ddba52a3b21aa73ccbc9f521ea,2
7,Carson,2020-05-18T23:22:49Z,https://api.github.com/repos/plotly/plotly.R/git/trees/188215013e699b685d8fafed8a2c1f0859cec83c,2
8,Carson,2020-05-18T23:22:49Z,https://api.github.com/repos/plotly/plotly.R/git/trees/aa59eabbf10d71190ab2b0651ba9baffbc51bd0c,2
9,Carson,2020-05-18T23:22:49Z,https://api.github.com/repos/plotly/plotly.R/git/trees/aca48ab0f59e67e69a098a679fb7fc74ed452fc1,2
10,Carson,2020-04-04T19:47:10Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d018f37f4f0a54b90b268f3260533f632c184a2d,2
11,Carson,2020-04-04T16:44:00Z,https://api.github.com/repos/plotly/plotly.R/git/trees/7d176fa6a290219c8694217329cc2f356a2ca170,2
12,Carson,2020-03-30T15:16:45Z,https://api.github.com/repos/plotly/plotly.R/git/trees/1bb2fb368101c2e06c332bace8d92634b4644d28,2
13,Carson,2020-03-30T15:15:57Z,https://api.github.com/repos/plotly/plotly.R/git/trees/53e14f0f6e81141eff6852d464ca1dc838e71dc6,2
14,Carson,2020-03-30T14:39:47Z,https://api.github.com/repos/plotly/plotly.R/git/trees/28b90cea71582c824c79d9f5a6f91044450e0cdd,2
15,Carson,2020-03-19T14:51:21Z,https://api.github.com/repos/plotly/plotly.R/git/trees/4410aa194dd08b1b8ee4370ab7430a4897bf4e2d,2
16,Carson,2020-03-04T16:32:45Z,https://api.github.com/repos/plotly/plotly.R/git/trees/8641080831e9d4ef4e4c4d5d11d4735de4be4d6e,2
17,Carson,2020-03-04T15:37:34Z,https://api.github.com/repos/plotly/plotly.R/git/trees/82b19c02b4dd23315db9d9409e15d7f8d16e7588,2
18,Carson,2020-03-04T14:54:52Z,https://api.github.com/repos/plotly/plotly.R/git/trees/96bd647107c457d6c73bc1c8a0df5a6221f50275,2
19,Carson,2020-03-04T14:54:35Z,https://api.github.com/repos/plotly/plotly.R/git/trees/516bdf2b20c4864c84862226cfd171fc69372f20,2
20,Carson,2020-03-04T14:53:50Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d9e966a0f7a2ece651719bb2b89c6c4690e76aab,2
21,GitHub,2020-03-04T14:45:59Z,https://api.github.com/repos/plotly/plotly.R/git/trees/36bd2bcf3c1127248aed6ab52b67ce31f34620ed,2
22,GitHub,2020-03-04T14:45:47Z,https://api.github.com/repos/plotly/plotly.R/git/trees/745465fd558ed13f249542a5ab3965ae1d407fdd,2
23,Carson,2020-02-24T15:43:12Z,https://api.github.com/repos/plotly/plotly.R/git/trees/10228eeecb74be66cf0acbb95e156a309c128d57,2
24,Carson,2020-02-12T20:24:09Z,https://api.github.com/repos/plotly/plotly.R/git/trees/823e62db07f187e4ba42c5d9464cb22c9a2979f9,2
25,Carson,2020-02-06T21:47:23Z,https://api.github.com/repos/plotly/plotly.R/git/trees/0c655ffc47e35477fcc575d670bf7fd7825e314e,2
26,Carson,2020-02-06T21:40:20Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d0a0761075afc55bb54eb060a960e5eb13ebdf08,2
27,Carson,2020-02-06T21:37:00Z,https://api.github.com/repos/plotly/plotly.R/git/trees/123246f3ff75adafb2b2e439b6fefa34dac26f7e,2
28,GitHub,2020-02-06T21:05:50Z,https://api.github.com/repos/plotly/plotly.R/git/trees/907014dbb971e1e7a9b8ab80dbe8dbdd7066aa30,2
29,GitHub,2020-02-06T20:48:24Z,https://api.github.com/repos/plotly/plotly.R/git/trees/71b591e0969f12b7a4adf0a797909344afb2ebec,2
30,Carson,2020-02-06T19:42:30Z,https://api.github.com/repos/plotly/plotly.R/git/trees/907014dbb971e1e7a9b8ab80dbe8dbdd7066aa30,2
31,Carson,2020-02-06T19:41:16Z,https://api.github.com/repos/plotly/plotly.R/git/trees/89e67ac4d7f616be64dd76e6574d781e1b850338,2
32,Carson,2020-02-05T23:15:06Z,https://api.github.com/repos/plotly/plotly.R/git/trees/0772ab35c1bdf14561d000446ab7cc8cfdfc5ab7,2
33,Carson,2020-02-05T20:36:58Z,https://api.github.com/repos/plotly/plotly.R/git/trees/de46c3331caa8b799580f944deb65e5a1ef18180,2
34,Carson,2020-02-05T19:23:46Z,https://api.github.com/repos/plotly/plotly.R/git/trees/5a7afb729a24a6d55532722e82f50ba933e08256,2
35,Carson,2020-02-05T19:21:26Z,https://api.github.com/repos/plotly/plotly.R/git/trees/71b591e0969f12b7a4adf0a797909344afb2ebec,2
36,Carson,2020-02-05T18:00:48Z,https://api.github.com/repos/plotly/plotly.R/git/trees/43a2ce68926df93c68d0f869c5cc5ced1772e26d,2
37,Carson,2020-02-04T17:03:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d46ec50d040d9875a18d6640a5b80762a246d001,2
38,GitHub,2020-01-07T20:45:29Z,https://api.github.com/repos/plotly/plotly.R/git/trees/98c21db71e821a60631987152423ef941196cc29,2
39,GitHub,2020-01-07T20:44:56Z,https://api.github.com/repos/plotly/plotly.R/git/trees/5b9e2e93121388b1e74605bafebae42000388e88,2
40,Carson,2020-01-06T23:52:59Z,https://api.github.com/repos/plotly/plotly.R/git/trees/503a096b256236381a893a5857767a5dffbf3218,2
41,Carson,2020-01-06T23:50:16Z,https://api.github.com/repos/plotly/plotly.R/git/trees/634ec98f836ccaf3427ee8d2212d6171e1a9b43e,2
42,Carson,2020-01-06T23:48:34Z,https://api.github.com/repos/plotly/plotly.R/git/trees/a58f994c185d3a6d1da166e052958f24a818ad2d,2
43,Carson,2019-12-26T17:30:46Z,https://api.github.com/repos/plotly/plotly.R/git/trees/4e5596608405a4d7a42651f0bf2a6dcf293f1456,2
44,Carson,2019-11-07T17:27:33Z,https://api.github.com/repos/plotly/plotly.R/git/trees/ca55e7a845d8b056f03be1b7e9bf7838f1d9296a,2
45,Carson,2019-11-07T16:54:20Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c35b371aa5434f6ec38bbad744da27023e4298b1,2
46,Carson,2019-11-07T16:43:19Z,https://api.github.com/repos/plotly/plotly.R/git/trees/0caf257d04a339dafec6eaed74fcc6c50a0bc4f2,2
47,Carson,2019-11-07T16:38:08Z,https://api.github.com/repos/plotly/plotly.R/git/trees/5962dadabc056927d4482eb94987eff497939a75,2
48,Carson,2019-11-07T16:37:48Z,https://api.github.com/repos/plotly/plotly.R/git/trees/ef30f836a22b4a6fb7dce650fb9f33c1512af74a,2
49,Carson,2019-11-07T01:25:33Z,https://api.github.com/repos/plotly/plotly.R/git/trees/6c3196489b461bd8ac6b6a2ff0cc2cd128c71036,2
50,Carson,2019-11-07T00:53:29Z,https://api.github.com/repos/plotly/plotly.R/git/trees/f42308fa83e265bbb6f77245c2332406bd024c27,2
51,Carson,2019-11-07T00:51:00Z,https://api.github.com/repos/plotly/plotly.R/git/trees/77b776e55374a531925904fdc5c09f2b4a0a951a,2
52,Carson,2019-11-07T00:07:19Z,https://api.github.com/repos/plotly/plotly.R/git/trees/31b5610423bbe649f3da335850f3b7aa59bfc48b,2
53,Carson,2019-11-07T00:03:29Z,https://api.github.com/repos/plotly/plotly.R/git/trees/b1bc065079df84bc50851586c10c2fa090c82f09,2
54,Carson,2019-11-06T23:34:20Z,https://api.github.com/repos/plotly/plotly.R/git/trees/c0b697ced9d01121efaef7bfd8864c7689e7320e,2
55,Carson,2019-11-06T23:22:50Z,https://api.github.com/repos/plotly/plotly.R/git/trees/926fe9d177631fdab7f1b3e932be50465e4f1659,2
56,Carson,2019-11-06T22:56:59Z,https://api.github.com/repos/plotly/plotly.R/git/trees/bedfa1d024f93b48f9f1d135d65e49a63861f328,2
57,Carson,2019-11-06T22:03:32Z,https://api.github.com/repos/plotly/plotly.R/git/trees/d255d3cde348693d3e3b7360f958b544703ebd26,2
58,Carson,2019-11-06T21:53:43Z,https://api.github.com/repos/plotly/plotly.R/git/trees/ec822172ce7981b965e89535c80e10b06584022c,2
59,Carson,2019-11-06T21:47:31Z,https://api.github.com/repos/plotly/plotly.R/git/trees/029b61c3ded23de4b028145e9763d8468d7283bf,2
60,Carson,2019-11-06T20:43:47Z,https://api.github.com/repos/plotly/plotly.R/git/trees/e6478865020238d97a82ecba2f6bd291249d8333,2
61,Carson,2019-11-06T20:18:42Z,https://api.github.com/repos/plotly/plotly.R/git/trees/33a9bc70933c11897a7caace4019194d6aaac1e7,2
62,Carson,2019-11-06T00:16:54Z,https://api.github.com/repos/plotly/plotly.R/git/trees/024ab034a9c022411c30e449be016e2873901ea7,2
63,GitHub,2019-11-06T00:16:22Z,https://api.github.com/repos/plotly/plotly.R/git/trees/3034c24c131de275d3b09b264d83d2bb60f6ee4a,2
64,Carson,2019-11-02T16:12:18Z,https://api.github.com/repos/plotly/plotly.R/git/trees/ea8274503ed6e54fc6eddca59734b8af6b56a122,2
65,Carson,2019-10-23T14:45:01Z,https://api.github.com/repos/plotly/plotly.R/git/trees/f220aa695166c308f1d77a1a32c6eca3b67bd6a6,2
66,GitHub,2019-10-23T14:36:48Z,https://api.github.com/repos/plotly/plotly.R/git/trees/dac1217aa8fa9e9cf91f4e4b4df641c60c624c95,2
67,Paul Murrell,2019-10-23T00:19:13Z,https://api.github.com/repos/plotly/plotly.R/git/trees/dac1217aa8fa9e9cf91f4e4b4df641c60c624c95,2
68,Paul Murrell,2019-10-22T23:28:28Z,https://api.github.com/repos/plotly/plotly.R/git/trees/06f21053971e5eef34ab35e7e21bfaf0c1879d56,2
69,GitHub,2019-10-21T14:37:36Z,https://api.github.com/repos/plotly/plotly.R/git/trees/f50dc21ec76c07ae589a2eea266d14b01dd51c3a,2
70,Wim,2019-10-19T08:36:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/851ce005b6668b171ee580f33ebed13762cc9aaa,2
71,Carson,2019-10-16T18:32:25Z,https://api.github.com/repos/plotly/plotly.R/git/trees/35f877842aa99019cd5c816d9521264b0fcdbaa3,2
72,Wim,2019-10-15T18:27:13Z,https://api.github.com/repos/plotly/plotly.R/git/trees/13f52c68d47667a51245f8f63a6b211301e803b2,2
73,Carson,2019-10-08T21:52:15Z,https://api.github.com/repos/plotly/plotly.R/git/trees/7aaa8875a53e8beface4c8d51776f155a223ed57,2
74,GitHub,2019-10-08T21:37:40Z,https://api.github.com/repos/plotly/plotly.R/git/trees/b8b6f324b35f0c29fdf6dd55d347c08c56bca63a,2
75,Carson,2019-10-08T21:26:21Z,https://api.github.com/repos/plotly/plotly.R/git/trees/3d6d82d2bab8b2a2cecf64ddfd596fe977be633d,2
76,Carson,2019-10-08T20:59:02Z,https://api.github.com/repos/plotly/plotly.R/git/trees/162dc6c645bc3f9102f4ce0c76ae9f0fd2784f30,2
77,Carson,2019-10-08T20:56:17Z,https://api.github.com/repos/plotly/plotly.R/git/trees/9321ac909c9d8ea5d4ead7655762114a28b05f81,2
78,GitHub,2019-10-08T20:38:16Z,https://api.github.com/repos/plotly/plotly.R/git/trees/8220de537c27ee1cf0ad9b34c2530bd042661c96,2
79,GitHub,2019-10-08T20:36:44Z,https://api.github.com/repos/plotly/plotly.R/git/trees/28bffe241edc0764c415c050e4a65104cad36120,2
